Watson	HOLMES	MR. HOLMES
Watson	HOLMES	HOLMES
Holmes	PREFECT	MONSIEUR LE PREFECT
Henri	CHAREL	MONSIEUR CHAREL
Prefect	CHAREL	MONSIEUR CHAREL
Henri	PREFEE	MONSIEUR LE PREFEE
Henri	CHAREL	MONSIEUR CHAREL
Henri	CHAREL	MONSIEUR CHAREL
Watson	HOLMES	HOLMES
Holmes	WATSON	WATSON
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Campbell	HOLMES	SHERLOCK HOLMES
Campbell	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
WATSON	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	MY DEAR FELLOW
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR FELLOW
HOLMES	DUNBAR	GRACE DUNBAR
WATSON	HOLMES	SHERLOCK HOLMES
WATSON	DUNBAR	MISS DUNBAR
HOLMES	WATSON	WATSON
HOLMES	DUNBAR	MISS DUNBAR
HOLMES	DUNBAR	MISS DUNBAR
WATSON	HOLMES	HOLMES
HOLMES	DUNBAR	MISS DUNBAR
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD CHAP
WATSON	HOLMES	HOLMES
WATSON	GIBSON	SIR
GIBSON	HOLMES	MR. SHERLOCK HOLMES
WATSON	WATSON	DR. WATSON
GIBSON	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	DR. WATSON
GIBSON	DUNBAR	MISS DUNBAR
HOLMES	DUNBAR	MISS DUNBAR
GIBSON	HOLMES	MR. HOLMES
GIBSON	DUNBAR	MISS DUNBAR
GIBSON	HOLMES	MR. HOLMES
HOLMES	GIBSON	MY DEAR SIR
GIBSON	HOLMES	SIR
GIBSON	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	DR. WATSON
GIBSON	HOLMES	MR. HOLMES
GIBSON	DUNBAR	MISS DUNBAR
GIBSON	HOLMES	MR. HOLMES
WATSON	GIBSON	SIR
HOLMES	DUNBAR	MISS DUNBAR
GIBSON	HOLMES	MR. HOLMES
WATSON	GIBSON	SIR
GIBSON	HOLMES	MR. HOLMES
HOLMES	GIBSON	SIR
HOLMES	DUNBAR	MISS DUNBAR
GIBSON	HOLMES	MR. HOLMES
GIBSON	DUNBAR	MISS DUNBAR
WATSON	HOLMES	HOLMES
GIBSON	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD FELLOW
SERGEANT	HOLMES	MR. 'OLMES
SERGEANT	WATSON	DR. WATSON
WATSON	SERGEANT	MY DEAR FELLOW
SERGEANT	HOLMES	MR. 'OLMES
SERGEANT	HOLMES	SIR
SERGEANT	DUNBAR	MISS DUNBAR
SERGEANT	HOLMES	SIR
SERGEANT	HOLMES	SIR
SERGEANT	HOLMES	SIR
SERGEANT	DUNBAR	MISS DUNBAR
SERGEANT	HOLMES	SIR
HOLMES	DUNBAR	MISS DUNBAR
SERGEANT	HOLMES	SIR
HOLMES	WATSON	OLD FELLOW
SERGEANT	HOLMES	SIR
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
SERGEANT	HOLMES	MR. 'OLMES
SERGEANT	HOLMES	SIR
SERGEANT	HOLMES	MR. 'OLMES
SERGEANT	HOLMES	MR. 'OLMES
HOLMES	WATSON	WATSON
CESAR	HOLMES	SEÑOR
CESAR	HOLMES	SEÑOR
CESAR	HOLMES	SEÑOR
WATSON	HOLMES	HOLMES
WATSON	DUNBAR	MISS DUNBAR
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	MY DEAR CHAP
WATSON	DUNBAR	MISS DUNBAR
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD CHAP
